Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	2130.0	22:29268316-29300343	1	Yes	22q12.2	yes		Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma			L, M, E	Dom	oncogene, fusion	T	FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1			CCDS13852.2,ENSG00000182944.17,EWS,NM_013986.3,NP_053733,Q01844
EZH2	enhancer of zeste homolog 2	2146.0	7:148807385-148884278	1	Yes	7q36.1	yes		DLBCL			L	Dom	oncogene, TSG	Mis				CCDS5891.1,ENSG00000106462.10,ENX-1,EZH1,KMT6,KMT6A,NM_004456.4,NP_004447,Q15910
FCGR2B	Fc fragment of IgG, low affinity IIb, receptor for (CD32)	2213.0	1:161663161-161678654	1	Yes	1q23.3	yes		ALL			L	Dom	oncogene, fusion	T	?			CCDS30924.1,CD32,CD32B,ENSG00000072694.20,FCG2,FCGR2,NM_004001.4,NP_003992,NP_001002275.1,P31994
FCRL4	Fc receptor-like 4	83417.0	1:157573749-157598080	1		1q23.1	yes		B-NHL			L	Dom	oncogene, fusion	T	IGH			CCDS1166.1,CD307d,ENSG00000163518.10,FCRH4,IGFP2,IRTA1,NM_031282.2,NP_112572,Q96PJ5
FES	FES proto-oncogene, tyrosine kinase	2242.0	15:90884412-90895776	1	Yes	15q26.1	yes		HNSCC, ovarian carcinoma			E		oncogene, TSG	Mis, F				CCDS10365.1,ENSG00000182511.11,FPS,NM_002005.3,NP_001996,P07332
FEV	FEV protein - (HSRNAFEV)	54738.0	2:218981087-218985657	1		2q35	yes		Ewing sarcoma			M	Dom	oncogene, fusion	T	EWSR1,  FUS			CCDS2428.1,ENSG00000163497.2,NM_017521.2,NP_059991,Pet-1,Q99581
FGFR1	fibroblast growth factor receptor 1	2260.0	8:38411138-38467845	1	Yes	8p11.23	yes		MPN, NHL, salivary adenoma			L	Dom	oncogene, fusion	T	BCR, FOP, ZMYM2, CNTRL, PLAG1	yes	Pfeiffer syndrome, Kallman syndrome	BFGFR,CCDS55223.1,CD331,CEK,ENSG00000077782.19,FLG,FLT2,H2,H3,H4,H5,KAL2,N-SAM,NM_001174067.1,NP_001167538,P11362
FGFR2	fibroblast growth factor receptor 2	2263.0	10:121479857-121598403	1	Yes	10q26.13	yes		gastric, NSCLC, endometrial			E	Dom	oncogene, fusion	Mis		yes	Crouzon, Pfeiffer, and Apert syndromes	BEK,CCDS7620.2,CD332,CEK3,CFD1,ECT1,ENSG00000066468.22,JWS,K-SAM,KGFR,NM_022970.3,NP_075259,P21802,TK14,TK25
FGFR3	fibroblast growth factor receptor 3	2261.0	4:1793312-1808872	1	Yes	4p16.3	yes		bladder, MM, T-cell lymphoma			L, E	Dom	oncogene, fusion	Mis, T	IGH, ETV6	yes	Hypochondroplasia, Thanatophoric dysplasia	ACH,CCDS54706.1,CD333,CEK2,ENSG00000068078.18,JTK4,NM_001163213.1,NP_001156685.1,P22607
FGFR4	fibroblast growth factor receptor 4	2264.0	5:177086886-177098144	1	Yes	5q35.2	yes		rhabdomyosarcoma			M	Dom	oncogene	Mis				CCDS4410.1,CD334,ENSG00000160867.14,JTK2,NM_213647.2,NP_998812,NP_002002,NP_001341913.1,P22455
FLI1	Friend leukemia virus integration 1	2313.0	11:128693770-128813267	1		11q24.3	yes		Ewing sarcoma			M	Dom	oncogene, fusion	T	EWSR1			CCDS44768.1,ENSG00000151702.16,EWSR2,NM_002017.4,NP_002008,Q01543,SIC-1
FLT3	fms-related tyrosine kinase 3	2322.0	13:28003274-28100592	1	Yes	13q12.2	yes		AML, ALL			L	Dom	oncogene	Mis, O				CCDS31953.1,CD135,ENSG00000122025.14,FLK2,NM_004119.2,NP_004110,P36888,STK1
FLT4	fms-related tyrosine kinase 4	2324.0	5:180601506-180649624	1	Yes	5q35.3	yes		soft tissue sarcoma			M	Dom	oncogene	A				CCDS4457.1,ENSG00000037280.15,NM_182925.4,NP_891555,P35916,PCL,VEGFR3
FOXA1	forkhead box A1	3169.0	14:37589984-37595034	1	Yes	14q21.1	yes		breast, prostate			E	Dom	oncogene	Mis, F				CCDS9665.1,ENSG00000129514.5,HNF3A,NM_004496.3,NP_004487,P55317
FOXL2	forkhead box L2	668.0	3:138944224-138947140	1	Yes	3q22.3	yes		granulosa-cell tumour of the ovary			O	Dom	oncogene, TSG	Mis		yes	Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III	BPES,BPES1,CCDS3105.1,ENSG00000183770.5,NM_023067.3,NP_075555,P58012
FOXO1	forkhead box O1	2308.0	13:40555667-40666597	1		13q14.11	yes		alveolar rhabdomyosarcoma			M	Dom	oncogene, TSG, fusion	T	PAX3, PAX7			CCDS9371.1,ENSG00000150907.7,FKH1,FKHR,FOXO1A,NM_002015.3,NP_002006,Q12778
FOXO3	forkhead box O3	2309.0	6:108560866-108684768	1		6q21	yes		AL			L	Dom	oncogene, TSG, fusion	T	KMT2A			AF6q21,CCDS5068.1,ENSG00000118689.14,FKHRL1,FOXO2,FOXO3A,NM_001455.3,NP_001446,O43524
FOXO4	forkhead box O4	4303.0	X:71096197-71103535	1		Xq13.1	yes		AL, soft tissue sarcoma			L, M	Dom	oncogene, TSG, fusion	T	KMT2A, CIC			AFX1,CCDS43969.1,ENSG00000184481.16,MLLT7,NM_005938.3,NP_005929,P98177
FOXP1	forkhead box P1	27086.0	3:70954715-71583989	1		3p13	yes		ALL			L	Dom	oncogene, fusion	T	PAX5			12CC4,CCDS74964.1,ENSG00000114861.19,HSPC215,NM_001244810.1,NP_001231739,Q9H334,QRF1,hFKH1B
FOXR1	forkhead box R1	283150.0	11:118971707-118981291	2		11q23.3	yes		neuroblastoma			O		oncogene, fusion	T				CCDS31688.1,DLNB13,ENSG00000176302.12,FOXN5,NM_181721.2,NP_859072,Q6PIV2
FSTL3	follistatin-like 3 (secreted glycoprotein)	10272.0	19:676365-683399	1		19p13.3	yes		B-CLL			L	Dom	oncogene, fusion	T	CCND1			CCDS12040.1,ENSG00000070404.9,FLRG,FSRP,NM_005860.2,NP_005851,O95633
FUBP1	far upstream element (FUSE) binding protein 1	8880.0	1:77948405-77979086	1	Yes	1p31.1	yes		oligodendroglioma			O	Rec	oncogene	F, N				CCDS683.1,ENSG00000162613.16,FBP,FUBP,NM_003902.4,NP_003893,NP_001290362.1,Q96AE4
GATA1	GATA binding protein 1 (globin transcription factor 1)	2623.0	X:48786554-48794308	1	Yes	Xp11.23	yes		megakaryoblastic leukaemia of Downs syndrome			L	Dom	oncogene, TSG	Mis, F				CCDS14305.1,ENSG00000102145.13,ERYF1,GATA-1,GF1,NF-E1,NFE1,NM_002049.3,NP_002040,P15976
GATA2	GATA binding protein 2	2624.0	3:128479427-128493185	1	Yes	3q21.3	yes		AML (CML blast transformation)			L	Dom	oncogene	Mis				CCDS3049.1,ENSG00000179348.11,NFE1B,NM_032638.4,NP_116027,P23769
GATA3	GATA binding protein 3	2625.0	10:8054653-8075203	1	Yes	10p14	yes		breast			E	Rec	oncogene, TSG	F, N, S		yes	HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)	CCDS31143.1,ENSG00000107485.16,HDR,NM_001002295.1,NP_001002295,P23771
GLI1	GLI family zinc finger 1	2735.0	12:57460138-57472262	2		12q13.3	yes		CRC, oesophagus cancer			E		oncogene, fusion	T, F		yes	IBD	CCDS8940.1,ENSG00000111087.9,GLI,NM_005269.2,NP_005260,P08151
GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	2767.0	19:3094410-3124004	1	Yes	19p13.3	yes		uveal melanoma, primary central nervous system melanocytic neoplasms			E, O	Dom	oncogene	Mis				CCDS12103.1,ENSG00000088256.8,FBH,FBH2,FHH2,HHC2,NM_002067.4,NP_002058,P29992
GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	2776.0	9:77716087-78031458	1	Yes	9q21.2	yes		uveal melanoma, primary central nervous system melanocytic neoplasms			E, O	Dom	oncogene	Mis				CCDS6658.1,ENSG00000156052.10,G-ALPHA-q,GAQ,NM_002072.4,NP_002063,P50148
GNAS	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1	2778.0	20:58852714-58911192	1	Yes	20q13.32	yes		pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia			E, M	Dom	oncogene	Mis		yes	McCune-Albright syndrome; pseudohypoparathyroidism, type IA	CCDS46622.1,ENSG00000087460.24,GNAS1,GNASXL,GPSA,NESP,NESP55,NM_080425.3,NP_536350,Q5JWF2,SCG6,SgVI
GPC3	glypican 3	2719.0	X:133535754-133985646	1	Yes	Xq26.2		yes		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	oncogene, TSG	D, Mis, N, F, S				CCDS55496.1,DGSX,ENSG00000147257.13,NM_001164617.1,NP_001158089,OCI-5,P51654,SDYS,SGB,SGBS,SGBS1
GRM3	glutamate metabotropic receptor 3	2913.0	7:86643914-86864884	2		7q21.12	yes		melanoma, oral SCC			E		oncogene	Mis, A				CCDS5600.1,ENSG00000198822.10,GPRC1C,MGLUR3,NM_000840.2,NP_000831,Q14832,mGlu3
H3F3A	H3 histone, family 3A	3020.0	1:226063977-226072001	1	Yes	1q42.12	yes		glioma			O	Dom	oncogene	Mis				CCDS1550.1,ENSG00000163041.9,H3.3A,H3F3,P84243
H3F3B	H3 histone, family 3B (H3.3B)	3021.0	17:75776434-75779779	1	Yes	17q25.1	yes		chondroblastoma			M	Dom	oncogene	Mis				CCDS11729.1,ENSG00000132475.10,H3.3B,NM_005324.4,NP_005315,P84243
HEY1	hairy/enhancer-of-split related with YRPW motif 1	23462.0	8:79764013-79767857	1	Yes	8q21.13	yes		mesenchymal chondrosarcoma			M	Dom	oncogene, fusion	T	NCOA2			CCDS43749.1,CHF-2,CHF2,ENSG00000164683.16,HERP2,HESR-1,HESR1,HRT-1,NM_001040708.1,NP_001035798,Q9Y5J3,bHLHb31
HGF	Hepatocyte growth factor	3082.0	7:81699008-81770198	1		7q21.11	yes	yes	breast cancer, lung cancer, multiple myeloma	bladder cancer		E, M		oncogene, fusion	A, F, Mis, N, T	CACNA2D1			CCDS5597.1,DFNB39,ENSG00000019991.16,F-TCF,HGFB,HPTA,NM_000601.5,NP_000592,P14210,SF
HIF1A	hypoxia inducible factor 1 alpha subunit	3091.0	14:61697622-61748259	1	Yes	14q23.2	yes		endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic			E, O	Dom	oncogene	Mis, F, N				CCDS58324.1,ENSG00000100644.16,HIF-1alpha,HIF1,MOP1,NM_001243084.1,NP_001230013,PASD8,Q16665,bHLHe78
HIP1	huntingtin interacting protein 1	3092.0	7:75533300-75738947	1	Yes	7q11.23	yes		CMML, NSCLC			L, E	Dom	oncogene, fusion	T	PDGFRB, ALK			CCDS34669.1,ENSG00000127946.16,ILWEQ,NM_005338.6,NP_005329,O00291
HIST1H3B	histone cluster 1, H3b	8358.0	6:26031650-26032060	1	Yes	6p22.2	yes		glioma			O	Dom	oncogene	Mis				CCDS4573.1,ENSG00000274267.1,H3/l,H3FL,NM_003537.3,NP_003528,P68431
HLF	hepatic leukemia factor	3131.0	17:55265012-55325065	1		17q22	yes		ALL			L	Dom	oncogene, fusion	T	TCF3			CCDS11585.1,ENSG00000108924.13,MGC33822,NM_002126.4,NP_002117,Q16534
HMGA1	high mobility group AT-hook 1	3159.0	6:34236873-34246230	1		6p21.31	yes		microfollicular thyroid adenoma, various benign mesenchymal tumours			E, M	Dom	oncogene, fusion	T	?			CCDS4789.1,ENSG00000137309.19,HMGIY,NM_145901.2,NP_665908,NP_001306010,NP_001306007,P17096
HMGA2	high mobility group AT-hook 2 (HMGIC)	8091.0	12:65824460-65915447	1		12q14.3	yes		lipoma, leiomyoma, pleomorphic salivary gland adenoma			M	Dom	oncogene, fusion	T	LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT			BABL,CCDS73491.1,ENSG00000149948.13,HMGIC,LIPO,NM_001300919.1,NP_001287848
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181.0	7:26189927-26200746	1	Yes	7p15.2	yes		prostate			E	Dom	oncogene, fusion	T	ETV1			CCDS43557.1,ENSG00000122566.20,HNRPA2B1,NM_031243.2,NP_112533,P22626
HOXA11	homeo box A11	3207.0	7:27181515-27185216	1	Yes	7p15.2	yes		CML			L	Dom	oncogene, TSG, fusion	T	NUP98			CCDS5411.1,ENSG00000005073.5,HOX1,HOX1I,NM_005523.5,NP_005514,P31270
HOXA13	homeo box A13	3209.0	7:27194364-27200106	1		7p15.2	yes		AML			L	Dom	oncogene, fusion	T	NUP98			CCDS5412.1,ENSG00000106031.7,HOX1,HOX1J,NM_000522.4,NP_000513,P31271
HOXA9	homeo box A9	3205.0	7:27162435-27165530	1		7p15.2	yes		AML*			L	Dom	oncogene, TSG, fusion	T	NUP98, MSI2			CCDS5409.1,ENSG00000078399.17,HOX1,HOX1G,NM_152739.3,NP_689952,P31269
HOXC11	homeo box C11	3227.0	12:53973126-53977643	1		12q13.13	yes		AML			L	Dom	oncogene, fusion	T	NUP98			CCDS8867.1,ENSG00000123388.4,HOX3H,NM_014212.3,NP_055027,O43248
HOXC13	homeo box C13	3229.0	12:53938765-53946544	1		12q13.13	yes		AML			L	Dom	oncogene, fusion	T	NUP98			CCDS8865.1,ENSG00000123364.4,HOX3,HOX3G,NM_017410.2,NP_059106,P31276
HOXD11	homeo box D11	3237.0	2:176107286-176109588	1		2q31.1	yes		AML			L	Dom	oncogene, fusion	T	NUP98			CCDS2265.1,ENSG00000128713.13,HOX4,HOX4F,NM_021192.2,NP_067015,P31277
HOXD13	homeo box D13	3239.0	2:176092891-176095938	1		2q31.1	yes		AML*			L	Dom	oncogene, fusion	T	NUP98			CCDS2264.2,ENSG00000128714.5,HOX4I,NM_000523.3,NP_000514,P35453,SPD
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265.0	11:532243-535550	1	Yes	11p15.5	yes	yes	infrequent sarcomas, rare other tumour types	rhabdomyosarcoma, ganglioneuroblastoma, bladder	Costello syndrome	E, L, M	Dom	oncogene	Mis				CCDS7698.1,ENSG00000174775.16,HRAS1,NM_005343.3,NP_001123914,NP_005334,NP_001304983.1,P01112
IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	3417.0	2:208236265-208254322	1	Yes	2q34	yes		glioblastoma			O	Dom	oncogene	Mis				CCDS2381.1,ENSG00000138413.13,NM_001282387.1,NP_001269316,O75874
IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	3418.0	15:90083045-90102504	1	Yes	15q26.1	yes		glioblastoma			O	Dom	oncogene	Mis				CCDS10359.1,ENSG00000182054.9,NM_002168.3,NP_002159,P48735
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	3551.0	8:42271302-42331608	1	Yes	8p11.21	yes		SMZL			L	Dom	oncogene	Mis		yes	Immunodeficiency 15	CCDS6128.1,ENSG00000104365.13,IKK-beta,IKK2,IKKB,NFKBIKB,NM_001556.2,NP_001547,O14920
IKZF3	IKAROS Family Zinc Finger 3	22806.0	17:39757715-39864188	1		17q21.1	yes		B-ALL, CLL, breast cancer, colorectal cancer			L, E		oncogene, TSG, fusion	D, Mis, F, N, T	NAGLU, VAPB			Aiolos,CCDS11346.1,ENSG00000161405.16,NM_012481.4,NP_036613,Q9UKT9,ZNFN1A3
IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	3572.0	5:55935095-55994993	1	Yes	5q11.2	yes		hepatocellular carcinoma			E	Dom	oncogene	O				CCDS3971.1,CD130,ENSG00000134352.19,GP130,NM_002184.3,NP_002175,P40189
IL7R	interleukin 7 receptor	3575.0	5:35856849-35879603	1	Yes	5p13.2	yes		ALL, ETP ALL			L	Dom	oncogene	Mis, O		yes	Severe combined immune deficiency	CCDS3911.1,CD127,ENSG00000168685.14,IL7RA,NM_002185.3,NP_002176,P16871
IRF4	interferon regulatory factor 4	3662.0	6:391739-411447	1		6p25.3	yes		MM			L	Dom	oncogene, TSG, fusion	T	IGH			CCDS4469.1,ENSG00000137265.14,LSIRF,MUM1,NM_002460.3,NP_002451,NP_001182215.1,Q15306
IRS4	insulin receptor substrate 4	8471.0	X:108732482-108736409	1	Yes	Xq22.3	yes		glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL			E, O, M, L		oncogene, TSG	Mis, F, T	TRB			CCDS14544.1,ENSG00000133124.11,IRS-4,NM_003604.2,NP_003595,O14654,PY160
JAK1	Janus kinase 1	3716.0	1:64833229-64966504	1	Yes	1p31.3	yes		ALL			L	Dom	oncogene, TSG	Mis				CCDS41346.1,ENSG00000162434.11,JAK1A,JAK1B,JTK3,NM_002227.3,NP_002218,NP_001308782,NP_001307852,NP_001308784,NP_001308785,NP_001308781,NP_001308783,NP_001308786.1,P23458
JAK2	Janus kinase 2	3717.0	9:4985245-5128183	1	Yes	9p24.1	yes		ALL, AML, MPN,  CML			L	Dom	oncogene, fusion	T, Mis, O	ETV6, PCM1, BCR			CCDS6457.1,ENSG00000096968.13,JTK10,NM_004972.3,NP_004963,NP_001309125,NP_001309123,NP_001309124,NP_001309133.1,NP_001309127.1,NP_001309128.1,O60674
JAK3	Janus kinase 3	3718.0	19:17824786-17848032	1	Yes	19p13.11	yes		acute megakaryocytic leukaemia, ETP ALL			L	Dom	oncogene	Mis				CCDS12366.1,ENSG00000105639.18,JAK-3,JAK3_HUMAN,JAKL,L-JAK,LJAK,NM_000215.3,NP_000206,P52333
JUN	jun oncogene	3725.0	1:58780788-58784327	1		1p32.1	yes		sarcoma			M	Dom	oncogene	A				AP-1,CCDS610.1,ENSG00000177606.6,NM_002228.3,NP_002219,P05412,c-Jun
KAT6A	K(lysine) acetyltransferase 6A	7994.0	8:41929479-42051987	1		8p11.21	yes		AML			L	Dom	oncogene, fusion	T, A	CREBBP, NCOA2, EP300			CCDS6124.1,ENSG00000083168.9,MOZ,MYST3,Q92794,RUNXBP2,ZC2HC6A,ZNF220
KAT7	lysine acetyltransferase 7	11143.0	17:49788555-49835030	2		17q21.33	yes		CCRCC			E		oncogene	Mis				CCDS11554.1,ENSG00000136504.11,HBO1,HBOA,MYST2,NM_007067.4,NP_008998,O95251,ZC2HC7
KCNJ5	potassium inwardly-rectifying channel; subfamily J; member 5	3762.0	11:128891356-128921035	1		11q24.3	yes		adrenal adenoma			E	Dom	oncogene	Mis		yes	Familial hyperaldosteronism type III, Long QT syndrome	CCDS8479.1,CIR,ENSG00000120457.11,GIRK4,KATP1,Kir3.4,LQT13,NM_001354169.1,NP_000881,NP_001341098.1,P48544
KDM5A	lysine (K)-specific demethylase 5A, JARID1A	5927.0	12:280129-389454	1		12p13.33	yes		AML			L	Dom	oncogene, fusion	T	NUP98			CCDS41736.1,ENSG00000073614.12,JARID1A,NM_001042603.2,NP_001036068,P29375,RBBP2
KDM6A	lysine (K)-specific demethylase 6A, UTX	7403.0	X:44873511-45112602	1	Yes	Xp11.3	yes		renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types			E, L	Rec	oncogene, TSG	D, N, F, S		yes	Kabuki syndrome	CCDS14265.1,ENSG00000147050.14,NM_021140.3,NP_066963,O15550,UTX
KDR	vascular endothelial growth factor receptor 2	3791.0	4:55078259-55125595	1	Yes	4q12	yes	yes	NSCLC, angiosarcoma	melanoma		E	Dom	oncogene	Mis				CCDS3497.1,CD309,ENSG00000128052.9,FLK1,NM_002253.2,NP_002244,VEGFR,VEGFR2
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815.0	4:54657918-54740715	1	Yes	4q12	yes	yes	GIST, AML, TGCT, mastocytosis, mucosal melanoma	GIST, epithelioma	familial gastrointestinal stromal tumour	L, M, O, E	Dom	oncogene	Mis, O		yes	Piebald trait	C-Kit,CCDS3496.1,CD117,ENSG00000157404.15,NM_000222.2,NP_000213,P10721,PBT,SCFR
KLF4	Kruppel-like factor 4	9314.0	9:107484852-107489646	1	Yes	9q31.2	yes		meningioma			O	Dom	oncogene, TSG	Mis				CCDS6770.2,ENSG00000136826.14,EZF,GKLF,NM_004235.5,NP_004226,NP_001300981.1,O43474
KMT2A	lysine (K)-specific methyltransferase 2A	4297.0	11:118436490-118526832	1	Yes	11q23.3	yes		AML, ALL			L	Dom	oncogene, fusion	T, O	KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18			ALL-1,CCDS55791.1,CXXC7,ENSG00000118058.20,HRX,HTRX1,MLL,MLL1A,NM_001197104.1,NP_001184033,Q03164,TRX1
KMT2D	lysine (K)-specific methyltransferase 2D	8085.0	12:49018975-49055324	1	Yes	12q13.12	yes		medulloblastoma, renal			O, E	Rec	oncogene, TSG	N, F, Mis				ALR,CAGL114,CCDS44873.1,ENSG00000167548.14,MLL2,MLL4,NM_003482.3,NP_003473,O14686,TNRC21
KNSTRN	kinetochore localized astrin/SPAG5 binding protein	90417.0	15:40382721-40394245	2		15q15.1	yes		SCC			E		oncogene	Mis				C15orf23,CCDS42021.1,ENSG00000128944.13,FLJ14502,NM_033286.3,NP_150628,Q9Y448,SKAP,TRAF4AF1,kinastrin
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	3845.0	12:25209431-25250803	1	Yes	12p12.1	yes		pancreatic, colorectal, lung, thyroid, AML, other tumour types			L, E, M, O	Dom	oncogene	Mis				CCDS8703.1,ENSG00000133703.11,KRAS1,KRAS2,NM_033360.3,NP_203524,P01116
LCK	lymphocyte-specific protein tyrosine kinase	3932.0	1:32251239-32286165	1	Yes	1p35.2	yes		T-ALL			L	Dom	oncogene, fusion	T	TRB			CCDS359.1,ENSG00000182866.16,NM_005356.4,NP_005347,P06239
LEF1	lymphoid enhancer binding factor 1	51176.0	4:108047545-108168422	1	Yes	4q25	yes		B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas			L, E		oncogene, TSG	Mis, N				CCDS3679.1,ENSG00000138795.9,NM_016269.4,NP_057353,Q9UJU2,TCF10,TCF1ALPHA,TCF7L3
LMO1	LIM domain only 1 (rhombotin 1) (RBTN1)	4004.0	11:8224304-8263858	1		11p15.4	yes	yes	T-ALL, neuroblastoma	neuroblastoma		L	Dom	oncogene, fusion	T, A	TRD			CCDS44534.1,ENSG00000166407.13,NM_002315.2,NP_002306,P25800,RBTN1,RHOM1,TTG1
LMO2	LIM domain only 2 (rhombotin-like 1) (RBTN2)	4005.0	11:33858576-33892289	1		11p13	yes		T-ALL			L	Dom	oncogene, fusion	T	TRD			CCDS7888.2,ENSG00000135363.11,NM_005574.3,NP_005565,P25791,RBTN2,RBTNL1,RHOM2,TTG2
LPP	LIM domain containing preferred translocation partner in lipoma	4026.0	3:188212933-188890671	1		3q28	yes		lipoma, leukaemia			L, M	Dom	oncogene, fusion	T	HMGA2, KMT2A, C12orf9			CCDS3291.1,ENSG00000145012.13,NM_005578.4,NP_005569,Q93052
LYL1	lymphoblastic leukemia derived sequence 1	4066.0	19:13099033-13102867	1		19p13.13	yes		T-ALL			L	Dom	oncogene, fusion	T	TRB			CCDS12292.1,ENSG00000104903.4,NM_005583.4,NP_005574,P12980,bHLHa18
LYN	LYN Proto-Oncogene	4067.0	8:55879813-56010572	2		8q12.1	yes		DLBCL, B-ALL, MPN			L		oncogene, fusion	Mis, T	ETV6, GATAD2A, NCOR1			CCDS6162.1,ENSG00000254087.7,JTK8,NM_002350.3,NP_002341,P07948
MACC1	MET transcriptional regulator MACC1	346389.0	7:20134655-20217390	2		7p21.1	yes		liver, CRC			E		oncogene	Mis				7A5,CCDS5369.1,ENSG00000183742.12,NM_182762.3,NP_877439,Q6ZN28,SH3BP4L
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	4094.0	16:79593838-79600714	1		16q23.2	yes		MM			L	Dom	oncogene, fusion	T	IGH			CCDS10928.1,ENSG00000178573.6,NM_005360.4,NP_005351,O75444,c-MAF
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	9935.0	20:40685848-40689240	1		20q12	yes		MM			L	Dom	oncogene, fusion	T	IGH			CCDS13311.1,ENSG00000204103.3,KRML,NM_005461.4,NP_005452,Q9Y5Q3
MALAT1	metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)		11:65497762-65506469	2		11q13.1	yes		renal cell carcinoma (childhood epithelioid), lung			E	Dom	oncogene, TSG, fusion	T	TFEB			
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	10892.0	18:58671386-58754477	1		18q21.32	yes		MALT			L	Dom	oncogene, fusion	T	BIRC3			CCDS11967.1,ENSG00000172175.12,MLT,NM_006785.3,NP_006776,PCASP1,Q9UDY8
MAML2	mastermind-like 2 (Drosophila)	84441.0	11:95976598-96343180	1		11q21	yes		salivary gland mucoepidermoid			E	Dom	oncogene, fusion	T	CRTC3, CRTC1			CCDS44714.1,ENSG00000184384.13,KIAA1819,MAM3,NM_032427.3,NP_115803,Q8IZL2
MAP2K1	mitogen-activated protein kinase kinase 1	5604.0	15:66386817-66492312	1	Yes	15q22.31	yes		NSCLC, melanoma, colorectal			E	Dom	oncogene	Mis		yes	Cardiofaciocutaneous syndrome	CCDS10216.1,ENSG00000169032.9,MAPKK1,MEK1,NM_002755.3,NP_002746,PRKMK1,Q02750
MAP2K2	mitogen-activated protein kinase kinase 2	5605.0	19:4090321-4124129	1	Yes	19p13.3	yes		NSCLC, melanoma			E	Dom	oncogene	Mis		yes	Cardiofaciocutaneous syndrome	CCDS12120.1,ENSG00000126934.13,MEK2,NM_030662.3,NP_109587,P36507,PRKMK2
MAP2K4	mitogen-activated protein kinase kinase 4	6416.0	17:12020834-12143830	1	Yes	17p12	yes		pancreatic, breast, colorectal			E	Rec	oncogene, TSG	D, Mis, N				CCDS62095.1,ENSG00000065559.14,JNKK1,MEK4,MKK4,NM_001281435.1,NP_001268364,P45985,PRKMK4,SERK1
MAP3K1	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase	4214.0	5:56815574-56896152	1	Yes	5q11.2	yes		luminal A breast			E	Rec	oncogene, TSG	N, F, Mis, O, S		yes	46,XY sex reversal 6	CCDS43318.1,ENSG00000095015.5,MAPKKK1,MEKK,MEKK1,NM_005921.1,NP_005912,Q13233
MAP3K13	mitogen-activated protein kinase kinase kinase 13	9175.0	3:185363120-185489097	1	Yes	3q27.2	yes		breast			E	Rec	oncogene, TSG	F				CCDS3270.1,ENSG00000073803.13,LZK,MEKK13,NM_004721.4,NP_004712,O43283
