GENE_SYMBOL,NAME,COSMIC_GENE_ID,CHROMOSOME,GENOME_START,GENOME_STOP,CHR_BAND,SOMATIC,GERMLINE,TUMOUR_TYPES_SOMATIC,TUMOUR_TYPES_GERMLINE,CANCER_SYNDROME,TISSUE_TYPE,MOLECULAR_GENETICS,ROLE_IN_CANCER,MUTATION_TYPES,TRANSLOCATION_PARTNER,OTHER_GERMLINE_MUT,OTHER_SYNDROME,TIER,SYNONYMS
ETV6,ETS variant 6,COSG88065,12,11649854.0,11895402.0,12p13.2,y,n,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,,"L, E, M",Dom,"TSG, fusion",T,"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5",n,,1,"ETV6,ENSG00000139083.10,P41212,2120,TEL"
EXT1,exostosin glycosyltransferase 1,COSG91391,8,117794490.0,118111853.0,8q24.11,n,y,,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,"TSG, fusion","Mis, N, F, S, T",,n,,1,"EXT1,ENSG00000182197.10,Q16394,2131,ttv"
EXT2,exostosin glycosyltransferase 2,COSG109806,11,44095549.0,44245429.0,11p11.2,n,y,,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,TSG,"Mis, N, F, S",,n,,1,"EXT2,ENSG00000151348.13,Q93063,2132,SOTV"
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,COSG109206,7,148807383.0,148884321.0,7q36.1,y,n,DLBCL,,,L,Dom,"oncogene, TSG",Mis,,n,,1,"EZH2,ENSG00000106462.10,Q15910,2146,ENX-1,EZH1,KMT6,KMT6A"
FANCA,FA complementation group A,COSG82650,16,89737549.0,89816657.0,16q24.3,n,y,,"AML, leukaemia",Fanconi anaemia A,L,Rec,TSG,"D, Mis, N, F, S",,n,,1,"FANCA,ENSG00000187741.14,O15360,2175,FA-H,FAA,FAH"
FANCC,FA complementation group C,COSG73016,9,95099054.0,95426796.0,9q22.32,n,y,,"AML, leukaemia",Fanconi anaemia C,L,Rec,TSG,"D, Mis, N, F, S",,n,,1,"FANCC,ENSG00000158169.12,Q00597,2176,FA3,FAC"
FANCD2,FA complementation group D2,COSG111784,3,10026414.0,10101930.0,3p25.3,n,y,,"AML, leukaemia",Fanconi anaemia D2,L,Rec,TSG,"D, Mis, N, F",,n,,1,"FANCD2,ENSG00000144554.10,Q9BXW9,2177,FA-D2,FAD"
FANCE,FA complementation group E,COSG112045,6,35452361.0,35467103.0,6p21.31,n,y,,"AML, leukaemia",Fanconi anaemia E,L,Rec,TSG,"N, F, S",,n,,1,"FANCE,ENSG00000112039.3,Q9HB96,2178,FAE"
FANCF,FA complementation group F,COSG111782,11,22622519.0,22626787.0,11p14.3,n,y,,"AML, leukaemia",Fanconi anaemia F,L,Rec,TSG,"N, F",,n,,1,"FANCF,ENSG00000183161.4,Q9NPI8,2188,FAF"
FANCG,FA complementation group G,COSG78051,9,35073835.0,35080016.0,9p13.3,n,y,,"AML, leukaemia",Fanconi anaemia G,L,Rec,TSG,"Mis, N, F, S",,n,,1,"FANCG,ENSG00000221829.9,O15287,2189,FAG"
FAS,Fas cell surface death receptor,COSG73953,10,88990582.0,89015785.0,10q23.31,y,n,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,TSG,Mis,,y,Autoimmune lymphoproliferative syndrome,1,"FAS,ENSG00000026103.21,P25445,355,APO-1,CD95"
FAT1,FAT atypical cadherin 1,COSG73476,4,186587783.0,186726722.0,4q35.2,y,y,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,,"E, L",,TSG,"Mis, N, F, S",,n,,1,"FAT1,ENSG00000083857.13,Q14517,2195,CDHF7,CDHR8"
FAT4,FAT atypical cadherin 4,COSG107228,4,125316399.0,125492932.0,4q28.1,y,n,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma",,,"E, L",,TSG,"Mis, N",,y,"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2 ",1,"FAT4,ENSG00000196159.11,Q6V0I7,79633,CDHF14,CDHR11,FAT-J"
FBXO11,F-box protein 11,COSG86840,2,47789316.0,47905793.0,2p16.3,y,n,DLBCL,,,L,Rec,TSG,"Mis, F, D",,n,,1,"FBXO11,ENSG00000138081.20,Q86XK2,80204,FBX11,UBR6"
FBXW7,F-box and WD repeat domain containing 7,COSG70576,4,152320544.0,152536063.0,4q31.3,y,n,"colorectal, endometrial, T-ALL",,,"E, L",Rec,TSG,"Mis, N, D, F",,n,,1,"FBXW7,ENSG00000109670.14,Q969H0,55294,AGO,CDC4,FBW7,FBX30,FBXW6,FLJ11071,SEL-10,SEL10"
FES,"FES proto-oncogene, tyrosine kinase",COSG94613,15,90883695.0,90895776.0,15q26.1,y,n,"HNSCC, ovarian carcinoma",,,E,,"oncogene, TSG","Mis, F",,n,,1,"FES,ENSG00000182511.11,P07332,2242,FPS"
FH,fumarate hydratase,COSG94388,1,241497603.0,241519761.0,1q43,n,y,,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,TSG,"Mis, N, F",,n,,1,"FH,ENSG00000091483.6,P07954,2271"
FHIT,fragile histidine triad,COSG72343,3,59749310.0,61251459.0,3p14.2,y,n,pleomorphic salivary gland adenoma,,,E,Dom,"TSG, fusion",T,HMGA2,n,,1,"FHIT,ENSG00000189283.9,P49789,2272,AP3Aase,FRA3B"
FLCN,folliculin,COSG83404,17,17212212.0,17237188.0,17p11.2,n,y,,"renal, fibrofolliculomas, trichodiscomas",Birt-Hogg-Dube syndrome,"E, M",Rec,TSG,"Mis. N, F",,n,,1,"FLCN,ENSG00000154803.12,Q8NFG4,201163,BHD,MGC17998,MGC23445"
FOXL2,forkhead box L2,COSG66822,3,138944224.0,138947140.0,3q22.3,y,n,granulosa-cell tumour of the ovary,,,O,Dom,"oncogene, TSG",Mis,,y,"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III",1,"FOXL2,ENSG00000183770.5,P58012,668,BPES1"
FOXO1,forkhead box O1,COSG102574,13,40469953.0,40666597.0,13q14.11,y,n,alveolar rhabdomyosarcoma,,,M,Dom,"oncogene, TSG, fusion",T,"PAX3, PAX7",n,,1,"FOXO1,ENSG00000150907.7,Q12778,2308,FKH1"
FOXO3,forkhead box O3,COSG76666,6,108559835.0,108684774.0,6q21,y,n,AL,,,L,Dom,"oncogene, TSG, fusion",T,KMT2A,n,,1,"FOXO3,ENSG00000118689.14,O43524,2309,AF6q21,FOXO2"
FOXO4,forkhead box O4,COSG58773,X,71096197.0,71103535.0,Xq13.1,y,n,"AL, soft tissue sarcoma",,,"L, M",Dom,"oncogene, TSG, fusion",T,"KMT2A, CIC",n,,1,"FOXO4,ENSG00000184481.16,P98177,4303,AFX1"
FUS,FUS RNA binding protein,COSG115221,16,31180110.0,31194871.0,16p11.2,y,n,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,,"M, L",Dom,"TSG, fusion",T,"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2",n,,1,"FUS,ENSG00000089280.18,P35637,2521,FUS1,HNRNPP2,TLS,hnRNP-P2"
GATA1,GATA binding protein 1,COSG87468,X,48786554.0,48794311.0,Xp11.23,y,n,megakaryoblastic leukaemia of Downs syndrome,,,L,Dom,"oncogene, TSG","Mis, F",,n,,1,"GATA1,ENSG00000102145.13,P15976,2623,ERYF1,GATA-1,NF-E1,NFE1"
GATA3,GATA binding protein 3,COSG76073,10,8045378.0,8075203.0,10p14,y,n,breast,,,E,Rec,"oncogene, TSG","F, N, S",,y,"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)",1,"GATA3,ENSG00000107485.16,P23771,2625,HDR"
GPC3,glypican 3,COSG62939,X,133535745.0,133985895.0,Xq26.2,n,y,,Wilms tumour,Simpson-Golabi-Behmel syndrome,O,Rec/X,"oncogene, TSG","D, Mis, N, F, S",,n,,1,"GPC3,ENSG00000147257.13,P51654,2719,DGSX,OCI-5,SGB,SGBS,SGBS1"
GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,COSG108203,16,9753404.0,10182754.0,16p13.2,y,n,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",,,E,Rec,TSG,"Mis, N, F, O",,y,Focal epilepsy and speech disorder with or without mental retardation,1,"GRIN2A,ENSG00000183454.16,Q12879,2903,GluN2A"
HNF1A,HNF1 homeobox A,COSG70564,12,120978543.0,121002512.0,12q24.31,y,y,"hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma",familial hepatic adenoma,E,Rec,TSG,"Mis, F",,y,"Maturity-onset diabetes of the young, TYPE III",1,"HNF1A,ENSG00000135100.17,6927,HNF1,LFB1"
HOXA11,homeobox A11,COSG65276,7,27181510.0,27185223.0,7p15.2,y,n,CML,,,L,Dom,"oncogene, TSG, fusion",T,NUP98,n,,1,"HOXA11,ENSG00000005073.5,P31270,3207"
HOXA9,homeobox A9,COSG109289,7,27162435.0,27175180.0,7p15.2,y,n,AML*,,,L,Dom,"oncogene, TSG, fusion",T,"NUP98, MSI2",n,,1,"HOXA9,ENSG00000078399.17,P31269,3205"
IKZF1,IKAROS family zinc finger 1,COSG89430,7,50304068.0,50405101.0,7p12.2,y,n,"ALL, DLBCL",,,L,Dom/Rec,"TSG, fusion","D,T",BCL6,n,,1,"IKZF1,ENSG00000185811.18,10320,Hs.54452,IKAROS,LyF-1,PPP1R92,hIk-1"
IKZF3,IKAROS family zinc finger 3,COSG116030,17,39757715.0,39864188.0,17q21.1,y,n,"B-ALL, CLL, breast cancer, colorectal cancer",,,"L, E",,"oncogene, TSG, fusion","D, Mis, F, N, T","NAGLU, VAPB",n,,1,"IKZF3,ENSG00000161405.16,Q9UKT9,22806,Aiolos"
IRF4,interferon regulatory factor 4,COSG105639,6,391739.0,411447.0,6p25.3,y,n,MM,,,L,Dom,"oncogene, TSG, fusion",T,IGH,n,,1,"IRF4,ENSG00000137265.14,Q15306,3662,LSIRF"
IRS4,insulin receptor substrate 4,COSG76787,X,108732482.0,108736409.0,Xq22.3,y,n,"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL",,,"E, O, M, L",,"oncogene, TSG","Mis, F, T",TRB,n,,1,"IRS4,ENSG00000133124.11,O14654,8471,IRS-4,PY160"
JAK1,Janus kinase 1,COSG63689,1,64833229.0,64966504.0,1p31.3,y,n,ALL,,,L,Dom,"oncogene, TSG",Mis,,n,,1,"JAK1,ENSG00000162434.11,P23458,3716,JAK1A,JTK3"
KAT6B,lysine acetyltransferase 6B,COSG100264,10,74825582.0,75032622.0,10q22.2,y,n,"AML, leiomyoma",,,"L, M",Dom,"TSG, fusion",T,"CREBBP, KANSL1",n,"Genitopatellar syndrome, Say-Barber-Biesecker/Young-Simpson syndrome",1,"KAT6B,ENSG00000156650.12,Q8WYB5,23522,MOZ2,Morf,ZC2HC6B,qkf,querkopf"
KDM5C,lysine demethylase 5C,COSG86736,X,53191321.0,53225422.0,Xp11.22,y,n,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,y, X-linked mental retardation syndromic Claes-Jensen-type.,1,"KDM5C,ENSG00000126012.11,P41229,8242,DXS1272E,XE169"
KDM6A,lysine demethylase 6A,COSG88842,X,44873177.0,45112602.0,Xp11.3,y,n,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,,"E, L",Rec,"oncogene, TSG","D, N, F, S",,y,Kabuki syndrome,1,"KDM6A,ENSG00000147050.14,O15550,7403"
KEAP1,kelch like ECH associated protein 1,COSG96808,19,10486120.0,10503741.0,19p13.2,y,n,"NSCLC, breast carcinoma",,,E,,TSG,"Mis, N, F",,n,,1,"KEAP1,ENSG00000079999.13,Q14145,9817,INrf2,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454"
KLF4,Kruppel like factor 4,COSG110029,9,107484852.0,107490482.0,9q31.2,y,n,meningioma,,,O,Dom,"oncogene, TSG",Mis,,n,,1,"KLF4,ENSG00000136826.14,O43474,9314,EZF,GKLF"
KLF6,Kruppel like factor 6,COSG63910,10,3775996.0,3785281.0,10p15.2,y,n,"prostate, glioma",,,"E, O",Rec,TSG,"Mis, N",,n,,1,"KLF6,ENSG00000067082.14,Q99612,1316,CPBP,GBF,PAC1,Zf9"
KMT2C,lysine methyltransferase 2C,COSG85495,7,152134922.0,152436005.0,7q36.1,y,n,medulloblastoma,,,O,Rec,TSG,N,,n,,1,"KMT2C,ENSG00000055609.17,Q8NEZ4,58508,HALR,KIAA1506"
KMT2D,lysine methyltransferase 2D,COSG107783,12,49018975.0,49059774.0,12q13.12,y,n,"medulloblastoma, renal",,,"O, E",Rec,"oncogene, TSG","N, F, Mis",,n,,1,"KMT2D,ENSG00000167548.14,O14686,8085,ALR,CAGL114,MLL4"
KNL1,kinetochore scaffold 1,COSG107147,15,40594020.0,40664342.0,15q15.1,y,n,AML,,,L,Dom,"TSG, fusion",T,KMT2A,n,,1,"KNL1,ENSG00000137812.19,Q8NG31,57082,AF15Q14,CT29,D40,KIAA1570,PPP1R55,Spc7,hKNL-1,hSpc105"
LATS1,large tumor suppressor kinase 1,COSG78588,6,149658153.0,149718256.0,6q25.1,y,n,skin basal cell carcinoma,,,E,,TSG,"Mis, N",,n,,1,"LATS1,ENSG00000131023.12,O95835,9113,WARTS"
LATS2,large tumor suppressor kinase 2,COSG64660,13,20973032.0,21061547.0,13q12.11,y,n,malignant mesothelioma,,,E,,TSG,"D, F, N",,n,,1,"LATS2,ENSG00000150457.8,Q9NRM7,26524"
LEF1,lymphoid enhancer binding factor 1,COSG73617,4,108047545.0,108168956.0,4q25,y,n,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas",,,"L, E",,"oncogene, TSG","Mis, N",,n,,1,"LEF1,ENSG00000138795.9,Q9UJU2,51176,TCF10,TCF1ALPHA,TCF7L3"
LRIG3,leucine rich repeats and immunoglobulin like domains 3,COSG77544,12,58872149.0,58920522.0,12q14.1,y,n,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,n,,1,"LRIG3,ENSG00000139263.11,Q6UXM1,121227,FLJ90440,KIAA3016"
LRP1B,LDL receptor related protein 1B,COSG104741,2,140231423.0,142131701.0,2q22.2,y,n,"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer",,,"E, L",Rec,TSG,"D, Mis, N, F",,n,,1,"LRP1B,ENSG00000168702.17,Q9NZR2,53353,LRP-DIT,LRPDIT"
LZTR1,leucine zipper like transcription regulator 1,COSG108978,22,20982013.0,20999038.0,22q11.21,y,y,glioblastoma,"glioblastoma, schwannoma",Schwannomatosis-2,E,Dom,TSG,"Mis, F, N",,y,Noonan syndrome 10,1,"LZTR1,ENSG00000099949.19,Q8N653,8216,BTBD29,LZTR-1"
MAP2K4,mitogen-activated protein kinase kinase 4,COSG96219,17,12020824.0,12143830.0,17p12,y,n,"pancreatic, breast, colorectal",,,E,Rec,"oncogene, TSG","D, Mis, N",,n,,1,"MAP2K4,ENSG00000065559.14,P45985,6416,JNKK1,MEK4,MKK4,PRKMK4"
MAP3K1,mitogen-activated protein kinase kinase kinase 1,COSG73783,5,56815574.0,56896152.0,5q11.2,y,n,luminal A breast,,,E,Rec,"oncogene, TSG","N, F, Mis, O, S",,y,"46,XY sex reversal 6",1,"MAP3K1,ENSG00000095015.5,Q13233,4214,MAPKKK1,MEKK"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,COSG59626,3,185282941.0,185489097.0,3q27.2,y,n,breast,,,E,Rec,"oncogene, TSG",F,,n,,1,"MAP3K13,ENSG00000073803.13,O43283,9175,LZK,MEKK13"
MAX,MYC associated factor X,COSG102148,14,65006174.0,65102695.0,14q23.3,y,y,"pheochromocytoma, endometrioid carcinoma, colon carcinoma",pheochromocytoma,,"E, O",Rec,TSG,"Mis, N, F",,n,,1,"MAX,ENSG00000125952.18,P61244,4149,bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8"
MED12,mediator complex subunit 12,COSG113013,X,71118556.0,71142454.0,Xq13.1,y,n,"uterine leiomyoma, fibroadenoma, phyllodes tumour",,,"M, E",Dom,TSG,"Mis, S, O",,y,Opitz-Kaveggia Syndrome,1,"MED12,ENSG00000184634.15,Q93074,9968,CAGH45,HOPA,KIAA0192,OKS,OPA1,TRAP230"
MEN1,menin 1,COSG70965,11,64803510.0,64811294.0,11q13.1,y,y,"parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid",multiple endocrine neoplasia type 1,E,Rec,TSG,"D, Mis, N, F, S",,n,,1,"MEN1,ENSG00000133895.14,O00255,4221"
MLF1,myeloid leukemia factor 1,COSG93816,3,158571163.0,158607252.0,3q25.32,y,n,AML,,,L,Dom,"TSG, fusion",T,NPM1,n,,1,"MLF1,ENSG00000178053.17,P58340,4291"
MLH1,mutL homolog 1,COSG61713,3,36993332.0,37050918.0,3p22.2,y,y,"colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"MLH1,ENSG00000076242.14,P40692,4292,FCC2,HNPCC,HNPCC2"
MRTFA,myocardin related transcription factor A,COSG105252,22,40410281.0,40636702.0,22q13.2,y,n,acute megakaryocytic leukaemia,,,L,Dom,"oncogene, TSG, fusion",T,RBM15,n,,1,"MRTFA,ENSG00000196588.15,57591,BSAC,KIAA1438,MAL,MKL,MRTF-A"
MSH2,mutS homolog 2,COSG105361,2,47402969.0,47663146.0,2p21,y,y,"colorectal, endometrial, ovarian","colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,TSG,"D, Mis, N, F, S",,n,,1,"MSH2,ENSG00000095002.14,P43246,4436,HNPCC,HNPCC1"
MSH6,mutS homolog 6,COSG85949,2,47695530.0,47810101.0,2p16.3,y,y,colorectal,"colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,TSG,"Mis, N, F, S",,n,,1,"MSH6,ENSG00000116062.14,P52701,2956"
MUTYH,mutY DNA glycosylase,COSG107077,1,45329163.0,45340470.0,1p34.1,n,y,,colorectal,adenomatous polyposis coli,E,Rec,TSG,Mis,,n,,1,"MUTYH,ENSG00000132781.17,Q9UIF7,4595,MYH"
MYH9,myosin heavy chain 9,COSG99603,22,36281277.0,36388067.0,22q12.3,y,n,ALCL,,,L,Dom,"TSG, fusion",T,ALK,y,"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome",1,"MYH9,ENSG00000100345.21,P35579,4627,EPSTS,FTNS,MHA,NMHC-II-A,NMMHCA"
NAB2,NGFI-A binding protein 2,COSG115963,12,57088894.0,57095476.0,12q13.3,y,n,"solitary fibrous tumour, meningeal haemangiopericytoma",,,"M, O",Dom,"TSG, fusion",T,STAT6,n,,1,"NAB2,ENSG00000166886.12,Q15742,4665,MADER"
NBN,nibrin,COSG81202,8,89933336.0,90003228.0,8q21.3,n,y,,"NHL, glioma, medulloblastoma, rhabdomyosarcoma",Nijmegen breakage syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F",,n,,1,"NBN,ENSG00000104320.13,O60934,4683,AT-V1,AT-V2,ATV"
NCOA4,nuclear receptor coactivator 4,COSG112601,10,46005088.0,46030714.0,10q11.22,y,n,papillary thyroid,,,E,Dom,"TSG, fusion",T,RET,n,,1,"NCOA4,ENSG00000266412.5,Q13772,8031,ARA70,DKFZp762E1112,ELE1,PTC3,RFG"
NCOR1,nuclear receptor corepressor 1,COSG82654,17,16029157.0,16218185.0,17p12,y,n,breast,,,E,Rec,TSG,"Mis, F, N, O",,y,Ulnar-mammary syndrome,1,"NCOR1,ENSG00000141027.20,O75376,9611,KIAA1047,MGC104216,N-CoR,PPP1R109,TRAC1,hCIT529I10,hN-CoR"
NCOR2,nuclear receptor corepressor 2,COSG59133,12,124324415.0,124567589.0,12q24.31,y,n,prostate,,,E,Dom,TSG,"Mis, F, N, O",,n,,1,"NCOR2,ENSG00000196498.13,9612,CTG26,SMRT,SMRTE,TNRC14,TRAC-1"
NDRG1,N-myc downstream regulated 1,COSG109165,8,133237171.0,133302022.0,8q24.22,y,n,prostate,,,E,Dom,"TSG, fusion",T,ERG,n,,1,"NDRG1,ENSG00000104419.14,Q92597,10397,DRG1,NDR1,RTP,TDD5"
NF1,neurofibromin 1,COSG113820,17,31094927.0,31382116.0,17q11.2,y,y,"neurofibroma, glioma","neurofibroma, glioma",neurofibromatosis type 1,O,Rec,"TSG, fusion","D, Mis, N, F, S, O, T",,n,,1,"NF1,ENSG00000196712.17,P21359,4763"
NF2,neurofibromin 2,COSG66613,22,29603556.0,29698598.0,22q12.2,y,y,"meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma",neurofibromatosis type 2,O,Rec,TSG,"D, Mis, N, F, S, O",,n,,1,"NF2,ENSG00000186575.17,P35240,4771,ACN,BANF,SCH,merlin"
NFE2L2,"nuclear factor, erythroid 2 like 2",COSG108145,2,177227595.0,177392697.0,2q31.2,y,n,"NSCLC, HNSCC",,,E,Dom,"oncogene, TSG",Mis,,n,,1,"NFE2L2,ENSG00000116044.15,Q16236,4780,NRF2"
NFKB2,nuclear factor kappa B subunit 2,COSG64880,10,102394110.0,102402529.0,10q24.32,y,n,B-NHL,,,L,Dom,"oncogene, TSG, fusion",T,IGH,n,,1,"NFKB2,ENSG00000077150.18,Q00653,4791,LYT-10,NF-kB2,p105,p49/p100,p52"
NFKBIE,NFKB inhibitor epsilon,COSG91546,6,44258166.0,44265788.0,6p21.1,y,n,"CLL, desmoplastic melanoma",,,"L, E",Dom/Rec,TSG,"F, Mis",,n,,1,"NFKBIE,ENSG00000146232.16,O00221,4794,IKBE"
NKX2-1,NK2 homeobox 1,COSG92746,14,36516392.0,36521149.0,14q13.3,y,n,NSCLC,,,E,Dom,"oncogene, TSG",A,,n,,1,"NKX2-1,ENSG00000136352.17,P43699,7080,TTF-1,TTF1"
NOTCH1,notch 1,COSG79338,9,136494433.0,136545786.0,9q34.3,y,n,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,,"L, E",Dom/Rec,"oncogene, TSG, fusion","T, Mis, O","TRB, SEC16A, GABBR2",n,,1,"NOTCH1,ENSG00000148400.10,P46531,4851"
NOTCH2,notch 2,COSG91716,1,119911553.0,120069626.0,1p12,y,n,"marginal zone lymphoma, DLBCL, bladder",,,"L, E",Dom/Rec,"oncogene, TSG","N, F, Mis",,y,"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome",1,"NOTCH2,ENSG00000134250.19,Q04721,4853"
NRG1,neuregulin 1,COSG74798,8,31639386.0,32767959.0,8p12,y,n,NSCLC,,,E,Dom,"TSG, fusion",T,CD74,n,,1,"NRG1,ENSG00000157168.18,Q02297,3084,GGF,HRG,NDF"
NTRK1,neurotrophic receptor tyrosine kinase 1,COSG99947,1,156815640.0,156881850.0,1q23.1,y,n,"papillary thyroid, Spitzoid tumour",,,E,Dom,"oncogene, TSG, fusion","T, A","TPM3, TPR, TFG, TP53, LMNA",n,,1,"NTRK1,ENSG00000198400.11,P04629,4914,MTC,TRK,TRKA"
PALB2,partner and localizer of BRCA2,COSG88841,16,23603160.0,23641310.0,16p12.2,n,y,,"Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L, O, E",Rec,TSG,"F, N, Mis",,n,,1,"PALB2,ENSG00000083093.9,Q86YC2,79728,FANCN,FLJ21816"
PATZ1,POZ/BTB and AT hook containing zinc finger 1,COSG93407,22,31325804.0,31346232.0,22q12.2,y,n,Ewing sarcoma,,,M,Dom,"TSG, fusion",T,EWSR1,n,,1,"PATZ1,ENSG00000100105.17,Q9HBE1,23598,MAZR,PATZ,RIAZ,ZBTB19,ZSG,dJ400N23"
PAX5,paired box 5,COSG90817,9,36833275.0,37034185.0,9p13.2,y,n,"NHL, ALL, B-ALL",,,L,Dom,"oncogene, TSG, fusion","T, Mis, D, F, S","IGH, ETV6, PML, FOXP1, ZNF521, ELN",n,,1,"PAX5,ENSG00000196092.12,Q02548,5079,BSAP"
PBRM1,polybromo 1,COSG76325,3,52545352.0,52685917.0,3p21.1,y,n,"clear cell renal carcinoma, breast",,,E,Rec,TSG,"Mis, N, F, S, D, O",,n,,1,"PBRM1,ENSG00000163939.18,Q86U86,55193,BAF180,PB1"
PER1,period circadian regulator 1,COSG77832,17,8140472.0,8156506.0,17p13.1,y,n,"AML, CMML",,,L,Dom,"TSG, fusion",T,ETV6,n,,1,"PER1,ENSG00000179094.15,O15534,5187,RIGUI"
PHF6,PHD finger protein 6,COSG104198,X,134373253.0,134428791.0,Xq26.2,y,n,ETP ALL,,,L,Rec,TSG,"F, N, S, Mis",,y,Boerjeson-Forssman-Lehmann syndrome,1,"PHF6,ENSG00000156531.16,Q8IWS0,84295,CENP-31,KIAA1823,MGC14797"
PHOX2B,paired like homeobox 2B,COSG85171,4,41744082.0,41748970.0,4p13,y,y,neuroblastoma,neuroblastoma,familial neuroblastoma,O,Rec,TSG,"Mis, F",,y,Congenital central hypoventilation syndrome,1,"PHOX2B,ENSG00000109132.6,Q99453,8929,NBPhox,Phox2b"
PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,COSG108408,5,68215720.0,68301821.0,5q13.1,y,n,"glioblastoma, ovarian, colorectal",,,"E, O",Rec,TSG,"Mis, F, O",,n,,1,"PIK3R1,ENSG00000145675.14,P27986,5295,GRB1,p85,p85-ALPHA"
PML,promyelocytic leukemia,COSG62005,15,73994673.0,74047812.0,15q24.1,y,n,"APL, ALL",,,L,Dom,"TSG, fusion",T,"RARA, PAX5",n,,1,"PML,ENSG00000140464.19,P29590,5371,MYL,RNF71,TRIM19"
PMS2,"PMS1 homolog 2, mismatch repair system component",COSG60293,7,5973239.0,6009125.0,7p22.1,n,y,,"colorectal, endometrial, medulloblastoma, glioma","Lynch syndrome 4, mismatch repair syndrome 4",E,Rec,TSG,"Mis, N, F",,n,,1,"PMS2,ENSG00000122512.15,P54278,5395,HNPCC4,H_DJ0042M02.9,MLH4"
POLD1,"DNA polymerase delta 1, catalytic subunit",COSG73728,19,50384204.0,50418016.0,19q13.33,y,y,CRC,CRC,Lynch syndrome,E,,TSG,Mis,,n,,1,"POLD1,ENSG00000062822.13,5424,CDC2"
POLE,"DNA polymerase epsilon, catalytic subunit",COSG102542,12,132623753.0,132687365.0,12q24.33,y,y,"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer",colorectal cancer susceptibility,,E,Rec,TSG,Mis,,y,FILS syndrome,1,"POLE,ENSG00000177084.16,Q07864,5426,POLE1"
POLQ,DNA polymerase theta,COSG60282,3,121431427.0,121546641.0,3q13.33,y,y,oral SCC,breast cancer,,E,,"oncogene, TSG",Mis,,n,,1,"POLQ,ENSG00000051341.13,O75417,10721,POLH"
POT1,protection of telomeres 1,COSG80008,7,124822386.0,124929983.0,7q31.33,y,n,CLL,,,L,Dom,TSG,"Mis, N",,n,,1,"POT1,ENSG00000128513.14,Q9NUX5,25913,DKFZp586D211,hPot1"
